city,population_2015,median_income,year_founded,city_age,crime_rate
New_York_City,8426743,33078,1624,393,585
Los_Angeles,3900794,28761,1781,236,634
Chicago,2717534,29486,1833,184,903
Houston,2217706,28503,1837,180,966
Austin,887061,34015,1839,178,372
Jacksonville,846951,25554,1791,226,648
Las_Vegas,605097,25760,1905,112,920
Colorado_Springs,442040,29704,1871,146,438
Omaha,440034,27904,1854,163,515
Miami,424632,22493,1896,121,1021
Jurupa_Valley,98842,18813,1981,36,260
riverside,316335,22212,1893,124,446
santa_barbara,90401,37692,1786,231,426
irvine,238474,43456,1971,46,55
redlands,70186,31745,1907,110,298